Action,RuleSet,Name,Default,Value,Reasoning
None,.NET Style,csharp_style_expression_bodied_lambdas,true,true,
None,.NET Style,csharp_style_expression_bodied_local_functions,false,true,
None,.NET Style,csharp_style_expression_bodied_methods,false,true,
None,.NET Style,csharp_style_expression_bodied_operators,false,true,
None,.NET Style,csharp_style_expression_bodied_properties,true,true,
None,.NET Style,csharp_style_implicit_object_creation_when_type_is_apparent,true,true,
None,.NET Style,csharp_style_inlined_variable_declaration,true,true,
None,.NET Style,csharp_style_namespace_declarations,block_scoped,file_scoped,
None,.NET Style,csharp_style_pattern_matching_over_as_with_null_check,true,true,
None,.NET Style,csharp_style_pattern_matching_over_is_with_cast_check,true,true,
None,.NET Style,csharp_style_prefer_extended_property_pattern,true,true,
None,.NET Style,csharp_style_prefer_implicitly_typed_lambda_expression,true,true,
None,.NET Style,csharp_style_prefer_index_operator,true,true,
None,.NET Style,csharp_style_prefer_local_over_anonymous_function,true,true,
None,.NET Style,csharp_style_prefer_method_group_conversion,true,true,
None,.NET Style,csharp_style_prefer_not_pattern,true,true,
None,.NET Style,csharp_style_prefer_null_check_over_type_check,true,true,
None,.NET Style,csharp_style_prefer_pattern_matching,true,true,
None,.NET Style,csharp_style_prefer_primary_constructors,true,true,
None,.NET Style,csharp_style_prefer_range_operator,true,true,
None,.NET Style,csharp_style_prefer_readonly_struct,true,true,
None,.NET Style,csharp_style_prefer_readonly_struct_member,true,true,
None,.NET Style,csharp_style_prefer_simple_property_accessors,true,true,
None,.NET Style,csharp_style_prefer_switch_expression,true,true,
None,.NET Style,csharp_style_prefer_top_level_statements,true,true,
None,.NET Style,csharp_style_prefer_tuple_swap,true,true,
None,.NET Style,csharp_style_prefer_unbound_generic_type_in_nameof,true,true,
None,.NET Style,csharp_style_prefer_utf8_string_literals,true,true,
None,.NET Style,csharp_style_throw_expression,true,true,
None,.NET Style,csharp_style_unused_value_assignment_preference,discard_variable,discard_variable,
None,.NET Style,csharp_style_unused_value_expression_statement_preference,discard_variable,discard_variable,
None,.NET Style,csharp_style_var_elsewhere,false,true,
None,.NET Style,csharp_style_var_for_built_in_types,false,true,
None,.NET Style,csharp_style_var_when_type_is_apparent,false,true,
None,.NET Style,csharp_using_directive_placement,outside_namespace,outside_namespace,
None,.NET Style,dotnet_code_quality_unused_parameters,all,non_public,
None,.NET Style,dotnet_prefer_system_hash_code,true,true,
None,.NET Style,dotnet_remove_unnecessary_suppression_exclusions,none,none,
None,.NET Style,dotnet_separate_import_directive_groups,false,false,
None,.NET Style,dotnet_sort_system_directives_first,true,true,
None,.NET Style,dotnet_style_allow_multiple_blank_lines_experimental,true,false,
None,.NET Style,dotnet_style_allow_statement_immediately_after_block_experimental,true,false,
None,.NET Style,dotnet_style_coalesce_expression,true,true,
None,.NET Style,dotnet_style_collection_initializer,true,true,
None,.NET Style,dotnet_style_explicit_tuple_names,true,true,
None,.NET Style,dotnet_style_namespace_match_folder,true,true,
None,.NET Style,dotnet_style_null_propagation,true,true,
None,.NET Style,dotnet_style_object_initializer,true,true,
None,.NET Style,dotnet_style_parentheses_in_arithmetic_binary_operators,always_for_clarity,always_for_clarity,
None,.NET Style,dotnet_style_parentheses_in_other_binary_operators,always_for_clarity,always_for_clarity,
None,.NET Style,dotnet_style_parentheses_in_other_operators,never_if_unnecessary,never_if_unnecessary,
None,.NET Style,dotnet_style_parentheses_in_relational_binary_operators,always_for_clarity,always_for_clarity,
None,.NET Style,dotnet_style_predefined_type_for_locals_parameters_members,true,true,
None,.NET Style,dotnet_style_predefined_type_for_member_access,true,true,
None,.NET Style,dotnet_style_prefer_auto_properties,true,true,
None,.NET Style,dotnet_style_prefer_collection_expression,when_types_loosely_match,true,
None,.NET Style,dotnet_style_prefer_compound_assignment,true,true,
None,.NET Style,dotnet_style_prefer_conditional_expression_over_assignment,true,true,
None,.NET Style,dotnet_style_prefer_conditional_expression_over_return,true,true,
None,.NET Style,dotnet_style_prefer_foreach_explicit_cast_in_source,when_strongly_typed,always,
None,.NET Style,dotnet_style_prefer_inferred_anonymous_type_member_names,true,true,
None,.NET Style,dotnet_style_prefer_inferred_tuple_names,true,true,
None,.NET Style,dotnet_style_prefer_is_null_check_over_reference_equality_method,true,true,
None,.NET Style,dotnet_style_prefer_non_hidden_explicit_cast_in_source,true,false,
None,.NET Style,dotnet_style_prefer_simplified_boolean_expressions,true,true,
None,.NET Style,dotnet_style_prefer_simplified_interpolation,true,true,
None,.NET Style,dotnet_style_qualification_for_event,false,false,
None,.NET Style,dotnet_style_qualification_for_field,false,false,
None,.NET Style,dotnet_style_qualification_for_method,false,false,
None,.NET Style,dotnet_style_qualification_for_property,false,false,
None,.NET Style,dotnet_style_readonly_field,true,true,
None,.NET Style,dotnet_style_require_accessibility_modifiers,for_non_interface_members,for_non_interface_members,
None,.NET Style,file_header_template,unset,unset,
None,.NET Style,visual_basic_preferred_modifier_order,"Partial, Default, Private, Protected, Public, Friend, NotOverridable, Overridable, MustOverride, Overloads, Overrides, MustInherit, NotInheritable, Static, Shared, Shadows, ReadOnly, WriteOnly, Dim, Const, WithEvents, Widening, Narrowing, Custom, Async","Partial, Default, Private, Protected, Public, Friend, NotOverridable, Overridable, MustOverride, Overloads, Overrides, MustInherit, NotInheritable, Static, Shared, Shadows, ReadOnly, WriteOnly, Dim, Const, WithEvents, Widening, Narrowing, Custom, Async",
None,.NET Style,visual_basic_style_prefer_isnot_expression,true,true,
None,.NET Style,visual_basic_style_prefer_simplified_object_creation,true,true,
None,.NET Style,visual_basic_style_unused_value_assignment_preference,unused_local_variable,unused_local_variable,
None,.NET Style,visual_basic_style_unused_value_expression_statement_preference,unused_local_variable,unused_local_variable,
